STT,Mã CK,Mã ISIN,Mã FIGI,Tên công ty,Khối lượng cổ phiếu đang lưu hành,Khối lượng niêm yết,Vốn điều lệ
1,AAA,VN000000AAA4,BBG000BB42R4,Công ty Cổ phần Nhựa An Phát Xanh,382.274,382.274,"3.822,00"
2,ACB,VN000000ACB8,BBG000GYWBW2,Ngân hàng Thương mại Cổ phần Á Châu,3.884.050,3.884.050,"38.840,00"
3,AGG,VN000000AGG8,BBG00R4CKMT7,Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia,125.118,125.118,"1.251,00"
4,ANV,VN000000ANV3,BBG000P3VMH4,Công ty Cổ phần Nam Việt,133.128,133.54,"1.335,00"
5,ASM,VN000000ASM1,BBG0014KNPM3,Công ty Cổ phần Tập đoàn Sao Mai,336.527,336.527,"3.365,00"
6,BCG,VN000000BCG5,BBG009L07188,Công ty Cổ phần Tập đoàn Bamboo Capital,533.468,533.468,"5.334,00"
7,BCM,VN000000BCM3,BBG00K26M6H3,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,1.035.000,1.035.000,"10.350,00"
8,BID,VN000000BID9,BBG002CV4JP0,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,5.700.436,5.058.524,"50.585,00"
9,BMP,VN000000BMP5,BBG000PV15F4,Công ty Cổ phần Nhựa Bình Minh,81.861,81.861,"818,00"
10,BVH,VN000000BVH3,BBG000N1D3C7,Tập đoàn Bảo Việt,742.323,742.323,"7.423,00"
11,BWE,VN000000BWE8,BBG00H3MN8Z9,Công ty Cổ phần - Tổng Công ty Nước – Môi trường Bình Dương,192.92,192.92,"1.929,00"
12,CII,VN000000CII6,BBG000PM3W81,Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật TP.HCM,318.365,318.365,"3.183,00"
13,CMG,VN000000CMG2,BBG000Q6C4X9,Công ty Cổ phần Tập đoàn Công nghệ CMC,150.578,150.578,"1.505,00"
14,CRE,VN000000CRE6,BBG00LPMQ589,Công ty Cổ phần Bất động sản Thế Kỷ,463.678,463.679,"4.636,00"
15,CTD,VN000000CTD4,BBG000JWQL67,Công ty Cổ phần Xây dựng COTECCONS,99.217,103.633,"1.036,00"
16,CTG,VN000000CTG7,BBG000CYF2P3,Ngân hàng Thương mại Cổ phần Công Thương Việt Nam,5.369.992,4.805.751,"48.057,00"
17,CTR,VN000000CTR4,BBG00J25X052,Tổng Công ty Cổ phần Công trình Viettel,114.386,114.386,"1.143,00"
18,DBC,VN000000DBC2,BBG000TDDSL0,Công ty Cổ phần Tập đoàn DABACO Việt Nam,242.002,242.002,"2.420,00"
19,DCM,VN000000DCM9,BBG008D1PSP9,Công ty Cổ phần Phân bón Dầu khí Cà Mau,529.4,529.4,"5.294,00"
20,DGC,VN000000DGC1,BBG003QTZ0W7,Công ty Cổ phần Tập đoàn Hóa chất Đức Giang,379.778,379.779,"3.797,00"
21,DGW,VN000000DGW9,BBG009PTZWQ2,Công ty Cổ phần Thế Giới Số,167.073,167.224,"1.632,00"
22,DHC,VN000000DHC9,BBG000NDCKV3,Công ty Cổ phần Đông Hải Bến Tre,80.493,80.493,"804,00"
23,DIG,VN000000DIG8,BBG000TW9MF3,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng,609.852,609.852,"6.098,00"
24,DPM,VN000000DPM1,BBG000TSXTT5,Tổng Công ty Phân bón và Hóa chất Dầu khí - Công ty Cổ phần,391.334,391.4,"3.914,00"
25,DXG,VN000000DXG7,BBG000Q1XBH9,Công ty Cổ phần Tập đoàn Đất Xanh,610.032,611.779,"6.117,00"
26,DXS,VN000000DXS2,BBG0118RBF48,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,574.103,574.103,"5.741,00"
27,EIB,VN000000EIB7,BBG000DB3L28,Ngân hàng Thương mại Cổ phần Xuất Nhập khẩu Việt Nam,1.740.866,1.746.956,"17.469,00"
28,FPT,VN000000FPT1,BBG000PMZKF4,Công ty Cổ phần FPT,1.269.969,1.269.969,"12.699,00"
29,FRT,VN000000FRT7,BBG00FF5Y0Y3,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,136.242,136.242,"1.362,00"
30,FTS,VN000000FTS5,BBG00FQJG160,Công ty Cổ phần Chứng khoán FPT,214.565,214.565,"2.145,00"
31,GAS,VN000000GAS3,BBG002YWXH58,Tổng Công ty Khí Việt Nam - Công ty Cổ phần,2.296.740,2.296.740,"22.967,00"
32,GEG,VN000000GEG0,BBG000BC1CJ2,Công ty Cổ phần Điện Gia Lai,341.249,341.249,"3.412,00"
